,Time,Value,Factor,Baseline,Mass
0,2023-01-26 17:20:38.063518,-1082884,6.670474627450991,0,-162339.87241981397
1,2023-01-26 17:20:38.263227,-1082856,6.670474627450991,0,-162335.67481745977
2,2023-01-26 17:20:38.463525,-1082936,6.670474627450991,0,-162347.66796704323
3,2023-01-26 17:20:38.664011,-1082974,6.670474627450991,0,-162353.36471309542
4,2023-01-26 17:20:38.864372,-1082957,6.670474627450991,0,-162350.8161688089
5,2023-01-26 17:20:39.055435,-1082933,6.670474627450991,0,-162347.21822393386
6,2023-01-26 17:20:39.259627,-1082966,6.670474627450991,0,-162352.16539813706
7,2023-01-26 17:20:39.465803,-1082945,6.670474627450991,0,-162349.0171963714
8,2023-01-26 17:20:39.666801,-1082893,6.670474627450991,0,-162341.2216491421
9,2023-01-26 17:20:39.867478,-1082924,6.670474627450991,0,-162345.86899460573
10,2023-01-26 17:20:40.066804,-1082990,6.670474627450991,0,-162355.7633430121
11,2023-01-26 17:20:40.266728,-1082930,6.670474627450991,0,-162346.76848082448
12,2023-01-26 17:20:40.468104,-1082875,6.670474627450991,0,-162338.5231904858
13,2023-01-26 17:20:40.668838,-1082867,6.670474627450991,0,-162337.32387552748
14,2023-01-26 17:20:40.869148,-1082947,6.670474627450991,0,-162349.31702511097
15,2023-01-26 17:20:41.069246,-1082997,6.670474627450991,0,-162356.81274360066
16,2023-01-26 17:20:41.263614,-1082924,6.670474627450991,0,-162345.86899460573
17,2023-01-26 17:20:41.469637,-1082932,6.670474627450991,0,-162347.06830956406
18,2023-01-26 17:20:41.670287,-1082959,6.670474627450991,0,-162351.1159975485
19,2023-01-26 17:20:41.871526,-1082960,6.670474627450991,0,-162351.2659119183
20,2023-01-26 17:20:42.071964,-1082978,6.670474627450991,0,-162353.9643705746
21,2023-01-26 17:20:42.269452,-1082897,6.670474627450991,0,-162341.82130662128
22,2023-01-26 17:20:42.471953,-1082961,6.670474627450991,0,-162351.41582628808
23,2023-01-26 17:20:42.673070,-1082930,6.670474627450991,0,-162346.76848082448
24,2023-01-26 17:20:42.863816,-1082917,6.670474627450991,0,-162344.81959401717
25,2023-01-26 17:20:43.070647,-1082933,6.670474627450991,0,-162347.21822393386
26,2023-01-26 17:20:43.269990,-1082897,6.670474627450991,0,-162341.82130662128
27,2023-01-26 17:20:43.474484,-1082861,6.670474627450991,0,-162336.4243893087
28,2023-01-26 17:20:43.665529,-1082930,6.670474627450991,0,-162346.76848082448
29,2023-01-26 17:20:43.865853,-1082936,6.670474627450991,0,-162347.66796704323
30,2023-01-26 17:20:44.071240,-1082881,6.670474627450991,0,-162339.4226767046
31,2023-01-26 17:20:44.273026,-1082959,6.670474627450991,0,-162351.1159975485
32,2023-01-26 17:20:44.476503,-1082882,6.670474627450991,0,-162339.57259107436
33,2023-01-26 17:20:44.673242,-1082928,6.670474627450991,0,-162346.4686520849
34,2023-01-26 17:20:44.867860,-1082927,6.670474627450991,0,-162346.3187377151
35,2023-01-26 17:20:45.069576,-1082905,6.670474627450991,0,-162343.02062157964
36,2023-01-26 17:20:45.278800,-1082913,6.670474627450991,0,-162344.219936538
37,2023-01-26 17:20:45.479076,-1082890,6.670474627450991,0,-162340.77190603272
38,2023-01-26 17:20:45.677237,-1082938,6.670474627450991,0,-162347.96779578284
39,2023-01-26 17:20:45.871865,-1082867,6.670474627450991,0,-162337.32387552748
40,2023-01-26 17:20:46.070790,-1082931,6.670474627450991,0,-162346.91839519428
41,2023-01-26 17:20:46.276328,-1082919,6.670474627450991,0,-162345.11942275675
42,2023-01-26 17:20:46.480688,-1082915,6.670474627450991,0,-162344.51976527757
43,2023-01-26 17:20:46.680518,-1082901,6.670474627450991,0,-162342.42096410046
44,2023-01-26 17:20:46.882139,-1082927,6.670474627450991,0,-162346.3187377151
45,2023-01-26 17:20:47.070682,-1082916,6.670474627450991,0,-162344.66967964737
46,2023-01-26 17:20:47.274186,-1082882,6.670474627450991,0,-162339.57259107436
47,2023-01-26 17:20:47.482894,-1082923,6.670474627450991,0,-162345.71908023593
48,2023-01-26 17:20:47.679488,-1082908,6.670474627450991,0,-162343.470364689
49,2023-01-26 17:20:47.872739,-1082895,6.670474627450991,0,-162341.5214778817
50,2023-01-26 17:20:48.070724,-1082931,6.670474627450991,0,-162346.91839519428
51,2023-01-26 17:20:48.274723,-1082928,6.670474627450991,0,-162346.4686520849
52,2023-01-26 17:20:48.484247,-1082970,6.670474627450991,0,-162352.76505561624
53,2023-01-26 17:20:48.685491,-1082923,6.670474627450991,0,-162345.71908023593
54,2023-01-26 17:20:48.883494,-1082902,6.670474627450991,0,-162342.57087847026
55,2023-01-26 17:20:49.085990,-1082884,6.670474627450991,0,-162339.87241981397
56,2023-01-26 17:20:49.274072,-1082887,6.670474627450991,0,-162340.32216292334
57,2023-01-26 17:20:49.487700,-1082963,6.670474627450991,0,-162351.71565502768
58,2023-01-26 17:20:49.682753,-1082896,6.670474627450991,0,-162341.6713922515
59,2023-01-26 17:20:49.886762,-1082874,6.670474627450991,0,-162338.37327611604
60,2023-01-26 17:20:50.088509,-1082908,6.670474627450991,0,-162343.470364689
61,2023-01-26 17:20:50.279492,-1082877,6.670474627450991,0,-162338.8230192254
62,2023-01-26 17:20:50.489295,-1082876,6.670474627450991,0,-162338.6731048556
63,2023-01-26 17:20:50.686600,-1082894,6.670474627450991,0,-162341.3715635119
64,2023-01-26 17:20:50.875575,-1082914,6.670474627450991,0,-162344.36985090777
65,2023-01-26 17:20:51.086416,-1082908,6.670474627450991,0,-162343.470364689
66,2023-01-26 17:20:51.281959,-1082899,6.670474627450991,0,-162342.12113536088
67,2023-01-26 17:20:51.489171,-1082857,6.670474627450991,0,-162335.82473182952
68,2023-01-26 17:20:51.689603,-1082923,6.670474627450991,0,-162345.71908023593
69,2023-01-26 17:20:51.879312,-1082898,6.670474627450991,0,-162341.97122099108
70,2023-01-26 17:20:52.086185,-1082912,6.670474627450991,0,-162344.0700221682
71,2023-01-26 17:20:52.283750,-1082884,6.670474627450991,0,-162339.87241981397
72,2023-01-26 17:20:52.493942,-1082832,6.670474627450991,0,-162332.0768725847
73,2023-01-26 17:20:52.694400,-1082888,6.670474627450991,0,-162340.47207729315
74,2023-01-26 17:20:52.885109,-1082871,6.670474627450991,0,-162337.92353300666
75,2023-01-26 17:20:53.084981,-1082914,6.670474627450991,0,-162344.36985090777
76,2023-01-26 17:20:53.287789,-1082922,6.670474627450991,0,-162345.56916586612
77,2023-01-26 17:20:53.495571,-1082925,6.670474627450991,0,-162346.0189089755
78,2023-01-26 17:20:53.694726,-1082948,6.670474627450991,0,-162349.46693948077
79,2023-01-26 17:20:53.884449,-1082907,6.670474627450991,0,-162343.3204503192
80,2023-01-26 17:20:54.085332,-1082931,6.670474627450991,0,-162346.91839519428
81,2023-01-26 17:20:54.297261,-1082862,6.670474627450991,0,-162336.5743036785
82,2023-01-26 17:20:54.498227,-1082879,6.670474627450991,0,-162339.122847965
83,2023-01-26 17:20:54.693928,-1082833,6.670474627450991,0,-162332.22678695447
84,2023-01-26 17:20:54.887912,-1082888,6.670474627450991,0,-162340.47207729315
85,2023-01-26 17:20:55.084547,-1082943,6.670474627450991,0,-162348.7173676318
86,2023-01-26 17:20:55.287936,-1082917,6.670474627450991,0,-162344.81959401717
87,2023-01-26 17:20:55.500110,-1082914,6.670474627450991,0,-162344.36985090777
88,2023-01-26 17:20:55.698948,-1082880,6.670474627450991,0,-162339.2727623348
89,2023-01-26 17:20:55.901181,-1082861,6.670474627450991,0,-162336.4243893087
90,2023-01-26 17:20:56.101395,-1082909,6.670474627450991,0,-162343.6202790588
91,2023-01-26 17:20:56.289993,-1082858,6.670474627450991,0,-162335.97464619932
92,2023-01-26 17:20:56.502624,-1082927,6.670474627450991,0,-162346.3187377151
93,2023-01-26 17:20:56.695222,-1082885,6.670474627450991,0,-162340.02233418377
94,2023-01-26 17:20:56.900281,-1082911,6.670474627450991,0,-162343.9201077984
95,2023-01-26 17:20:57.103291,-1082895,6.670474627450991,0,-162341.5214778817
96,2023-01-26 17:20:57.291095,-1082886,6.670474627450991,0,-162340.17224855354
97,2023-01-26 17:20:57.503794,-1082862,6.670474627450991,0,-162336.5743036785
98,2023-01-26 17:20:57.695139,-1082915,6.670474627450991,0,-162344.51976527757
99,2023-01-26 17:20:57.904567,-1082932,6.670474627450991,0,-162347.06830956406
100,2023-01-26 17:20:58.093143,-1082954,6.670474627450991,0,-162350.36642569953
101,2023-01-26 17:20:58.296384,-1082892,6.670474627450991,0,-162341.07173477233
102,2023-01-26 17:20:58.505734,-1082926,6.670474627450991,0,-162346.1688233453
103,2023-01-26 17:20:58.697091,-1082933,6.670474627450991,0,-162347.21822393386
104,2023-01-26 17:20:58.901025,-1082865,6.670474627450991,0,-162337.02404678788
105,2023-01-26 17:20:59.105135,-1082901,6.670474627450991,0,-162342.42096410046
106,2023-01-26 17:20:59.293539,-1082886,6.670474627450991,0,-162340.17224855354
107,2023-01-26 17:20:59.508217,-1082886,6.670474627450991,0,-162340.17224855354
108,2023-01-26 17:20:59.704561,-1082928,6.670474627450991,0,-162346.4686520849
109,2023-01-26 17:20:59.907791,-1082990,6.670474627450991,0,-162355.7633430121
110,2023-01-26 17:21:00.109496,-1082889,6.670474627450991,0,-162340.62199166295
111,2023-01-26 17:21:00.298254,-1082936,6.670474627450991,0,-162347.66796704323
112,2023-01-26 17:21:00.510733,-1082902,6.670474627450991,0,-162342.57087847026
113,2023-01-26 17:21:00.704360,-1082906,6.670474627450991,0,-162343.17053594944
114,2023-01-26 17:21:00.907883,-1082911,6.670474627450991,0,-162343.9201077984
115,2023-01-26 17:21:01.103312,-1082825,6.670474627450991,0,-162331.02747199612
116,2023-01-26 17:21:01.301068,-1082877,6.670474627450991,0,-162338.8230192254
117,2023-01-26 17:21:01.512652,-1082851,6.670474627450991,0,-162334.92524561076
