,Time,Value
0,2023-01-16 14:41:08.651801,-2334212
1,2023-01-16 14:41:08.851148,-2334270
2,2023-01-16 14:41:09.041658,-2334367
3,2023-01-16 14:41:09.255206,-2334443
4,2023-01-16 14:41:09.450824,-2334449
5,2023-01-16 14:41:09.654464,-2334407
6,2023-01-16 14:41:09.849665,-2334334
7,2023-01-16 14:41:10.055067,-2334353
8,2023-01-16 14:41:10.255336,-2334339
9,2023-01-16 14:41:10.455350,-2334359
10,2023-01-16 14:41:10.655922,-2334324
11,2023-01-16 14:41:10.858418,-2334336
12,2023-01-16 14:41:11.055313,-2334421
13,2023-01-16 14:41:11.257038,-2334312
14,2023-01-16 14:41:11.457941,-2334339
15,2023-01-16 14:41:11.657498,-2334343
16,2023-01-16 14:41:11.855058,-2334371
17,2023-01-16 14:41:12.054381,-2334429
18,2023-01-16 14:41:12.258673,-2334260
19,2023-01-16 14:41:12.454803,-2334302
20,2023-01-16 14:41:12.660188,-2334347
21,2023-01-16 14:41:12.857887,-2334291
22,2023-01-16 14:41:13.056788,-2334264
23,2023-01-16 14:41:13.258251,-2334308
24,2023-01-16 14:41:13.463329,-2334303
25,2023-01-16 14:41:13.659227,-2334320
26,2023-01-16 14:41:13.860666,-2334362
27,2023-01-16 14:41:14.055312,-2334343
28,2023-01-16 14:41:14.260385,-2334289
29,2023-01-16 14:41:14.459882,-2334275
30,2023-01-16 14:41:14.658064,-2334345
31,2023-01-16 14:41:14.865523,-2334330
32,2023-01-16 14:41:15.062820,-2334350
33,2023-01-16 14:41:15.263578,-2334341
34,2023-01-16 14:41:15.462423,-2334277
35,2023-01-16 14:41:15.657432,-2334281
36,2023-01-16 14:41:15.867023,-2334365
37,2023-01-16 14:41:16.055281,-2334352
38,2023-01-16 14:41:16.267299,-2334292
39,2023-01-16 14:41:16.456751,-2334282
40,2023-01-16 14:41:16.656855,-2334307
41,2023-01-16 14:41:16.864839,-2334253
42,2023-01-16 14:41:17.065445,-2334288
43,2023-01-16 14:41:17.265633,-2334303
44,2023-01-16 14:41:17.472201,-2334344
45,2023-01-16 14:41:17.673390,-2334360
46,2023-01-16 14:41:17.865838,-2334406
47,2023-01-16 14:41:18.067210,-2334451
48,2023-01-16 14:41:18.273887,-2334388
49,2023-01-16 14:41:18.474675,-2334325
50,2023-01-16 14:41:18.673734,-2334343
51,2023-01-16 14:41:18.873593,-2334246
52,2023-01-16 14:41:19.074681,-2334307
53,2023-01-16 14:41:19.273073,-2334308
54,2023-01-16 14:41:19.475088,-2334360
55,2023-01-16 14:41:19.662569,-2334267
56,2023-01-16 14:41:19.871376,-2334341
57,2023-01-16 14:41:20.073000,-2334322
58,2023-01-16 14:41:20.277800,-2334300
59,2023-01-16 14:41:20.477532,-2334265
60,2023-01-16 14:41:20.675454,-2334452
61,2023-01-16 14:41:20.874239,-2334252
62,2023-01-16 14:41:21.073386,-2334323
63,2023-01-16 14:41:21.274061,-2334333
64,2023-01-16 14:41:21.476692,-2334398
65,2023-01-16 14:41:21.667410,-2334328
66,2023-01-16 14:41:21.882690,-2334409
67,2023-01-16 14:41:22.079026,-2334352
68,2023-01-16 14:41:22.274899,-2334292
69,2023-01-16 14:41:22.481922,-2334310
70,2023-01-16 14:41:22.680077,-2334322
71,2023-01-16 14:41:22.880704,-2334276
72,2023-01-16 14:41:23.072840,-2334343
73,2023-01-16 14:41:23.278764,-2334299
74,2023-01-16 14:41:23.477928,-2334334
75,2023-01-16 14:41:23.681762,-2334322
76,2023-01-16 14:41:23.881542,-2334307
77,2023-01-16 14:41:24.086978,-2334353
78,2023-01-16 14:41:24.284278,-2334314
79,2023-01-16 14:41:24.481765,-2334253
80,2023-01-16 14:41:24.687976,-2334248
81,2023-01-16 14:41:24.884305,-2334294
