,Time,Value
0,2023-01-18 13:57:19.024393,-113565.78254304525
1,2023-01-18 13:57:19.234739,-113559.9621925952
2,2023-01-18 13:57:19.434510,-113566.37950206577
3,2023-01-18 13:57:19.623030,-113567.57342010681
4,2023-01-18 13:57:19.822929,-113563.84242622857
5,2023-01-18 13:57:20.029518,-113566.08102255552
6,2023-01-18 13:57:20.236004,-113574.43844884277
7,2023-01-18 13:57:20.428776,-113565.78254304525
8,2023-01-18 13:57:20.633549,-113555.9327192067
9,2023-01-18 13:57:20.835115,-113566.5287418209
10,2023-01-18 13:57:21.025085,-113556.9773974926
11,2023-01-18 13:57:21.238218,-113556.67891798234
12,2023-01-18 13:57:21.430618,-113569.21505741324
13,2023-01-18 13:57:21.634031,-113567.57342010681
14,2023-01-18 13:57:21.834999,-113573.69225006714
15,2023-01-18 13:57:22.038078,-113573.24453080175
16,2023-01-18 13:57:22.239412,-113566.37950206577
17,2023-01-18 13:57:22.439644,-113566.82722133116
18,2023-01-18 13:57:22.635257,-113562.79774794266
19,2023-01-18 13:57:22.837052,-113562.64850818753
20,2023-01-18 13:57:23.025946,-113572.94605129148
21,2023-01-18 13:57:23.240004,-113562.79774794266
22,2023-01-18 13:57:23.432257,-113563.39470696318
23,2023-01-18 13:57:23.636387,-113566.08102255552
24,2023-01-18 13:57:23.842400,-113570.70745496453
25,2023-01-18 13:57:24.029053,-113566.23026231065
26,2023-01-18 13:57:24.242985,-113560.55915161571
27,2023-01-18 13:57:24.432349,-113565.18558402474
28,2023-01-18 13:57:24.635742,-113563.84242622857
29,2023-01-18 13:57:24.840614,-113574.28920908766
30,2023-01-18 13:57:25.031813,-113567.87189961708
31,2023-01-18 13:57:25.245568,-113566.97646108629
32,2023-01-18 13:57:25.445198,-113567.42418035168
33,2023-01-18 13:57:25.643539,-113565.18558402474
34,2023-01-18 13:57:25.834441,-113564.88710451448
35,2023-01-18 13:57:26.035432,-113567.27494059656
36,2023-01-18 13:57:26.247060,-113568.61809839272
37,2023-01-18 13:57:26.445373,-113569.36429716837
38,2023-01-18 13:57:26.643743,-113563.39470696318
39,2023-01-18 13:57:26.834837,-113564.43938524909
40,2023-01-18 13:57:27.039077,-113563.54394671832
41,2023-01-18 13:57:27.249091,-113566.97646108629
42,2023-01-18 13:57:27.443959,-113563.24546720805
43,2023-01-18 13:57:27.650511,-113569.81201643376
44,2023-01-18 13:57:27.850257,-113565.78254304525
45,2023-01-18 13:57:28.039404,-113569.0658176581
46,2023-01-18 13:57:28.239858,-113565.93178280038
47,2023-01-18 13:57:28.448429,-113564.73786475934
48,2023-01-18 13:57:28.638052,-113561.15611063624
49,2023-01-18 13:57:28.850165,-113567.42418035168
50,2023-01-18 13:57:29.038842,-113562.20078892214
51,2023-01-18 13:57:29.239760,-113559.81295284006
52,2023-01-18 13:57:29.443692,-113559.66371308494
53,2023-01-18 13:57:29.648160,-113568.31961888247
54,2023-01-18 13:57:29.849862,-113562.05154916701
55,2023-01-18 13:57:30.054014,-113565.03634426961
56,2023-01-18 13:57:30.255121,-113568.0211393722
57,2023-01-18 13:57:30.447317,-113562.4992684324
58,2023-01-18 13:57:30.650931,-113558.91751430929
59,2023-01-18 13:57:30.850646,-113570.25973569915
60,2023-01-18 13:57:31.054530,-113562.35002867728
61,2023-01-18 13:57:31.256206,-113563.39470696318
62,2023-01-18 13:57:31.446008,-113568.0211393722
63,2023-01-18 13:57:31.650082,-113575.33388737356
64,2023-01-18 13:57:31.852012,-113565.03634426961
65,2023-01-18 13:57:32.055896,-113576.0800861492
66,2023-01-18 13:57:32.256345,-113569.5135369235
67,2023-01-18 13:57:32.447690,-113570.55821520941
68,2023-01-18 13:57:32.650409,-113570.40897545428
69,2023-01-18 13:57:32.855697,-113565.03634426961
70,2023-01-18 13:57:33.059797,-113569.9612561889
71,2023-01-18 13:57:33.255263,-113568.91657790299
72,2023-01-18 13:57:33.451682,-113572.34909227096
73,2023-01-18 13:57:33.655837,-113573.09529104661
74,2023-01-18 13:57:33.849346,-113561.30535039137
75,2023-01-18 13:57:34.052324,-113562.4992684324
76,2023-01-18 13:57:34.255924,-113567.27494059656
77,2023-01-18 13:57:34.455419,-113564.88710451448
78,2023-01-18 13:57:34.658946,-113569.0658176581
79,2023-01-18 13:57:34.849957,-113569.5135369235
80,2023-01-18 13:57:35.050837,-113569.36429716837
81,2023-01-18 13:57:35.256117,-113559.66371308494
82,2023-01-18 13:57:35.464428,-113561.15611063624
83,2023-01-18 13:57:35.662494,-113567.87189961708
84,2023-01-18 13:57:35.865786,-113563.24546720805
85,2023-01-18 13:57:36.055292,-113569.81201643376
86,2023-01-18 13:57:36.266677,-113565.33482377986
87,2023-01-18 13:57:36.463755,-113567.57342010681
88,2023-01-18 13:57:36.666975,-113562.9469876978
89,2023-01-18 13:57:36.866589,-113563.84242622857
90,2023-01-18 13:57:37.067514,-113571.45365374019
91,2023-01-18 13:57:37.256439,-113575.0354078633
92,2023-01-18 13:57:37.465000,-113574.73692835304
93,2023-01-18 13:57:37.653955,-113554.73880116566
94,2023-01-18 13:57:37.863795,-113570.70745496453
95,2023-01-18 13:57:38.067724,-113586.37762925317
96,2023-01-18 13:57:38.255849,-113571.90137300557
97,2023-01-18 13:57:38.459757,-113565.18558402474
98,2023-01-18 13:57:38.660484,-113580.10955953771
99,2023-01-18 13:57:38.865320,-113574.43844884277
100,2023-01-18 13:57:39.065404,-113569.9612561889
101,2023-01-18 13:57:39.271531,-113568.91657790299
102,2023-01-18 13:57:39.460774,-113572.4983320261
103,2023-01-18 13:57:39.664764,-113560.70839137085
104,2023-01-18 13:57:39.872224,-113562.20078892214
105,2023-01-18 13:57:40.062371,-113566.08102255552
106,2023-01-18 13:57:40.272319,-113565.484063535
107,2023-01-18 13:57:40.460432,-113565.03634426961
108,2023-01-18 13:57:40.665462,-113568.0211393722
109,2023-01-18 13:57:40.868161,-113576.0800861492
110,2023-01-18 13:57:41.067560,-113561.30535039137
111,2023-01-18 13:57:41.266975,-113493.40126180733
112,2023-01-18 13:57:41.471728,-113479.82044409052
113,2023-01-18 13:57:41.675692,-113477.13412849819
114,2023-01-18 13:57:41.871712,-113480.41740311105
115,2023-01-18 13:57:42.076402,-113468.92594196605
116,2023-01-18 13:57:42.270507,-113474.14933339559
117,2023-01-18 13:57:42.468344,-113475.94021045715
118,2023-01-18 13:57:42.676276,-113474.00009364045
119,2023-01-18 13:57:42.865076,-113472.95541535455
120,2023-01-18 13:57:43.070790,-113475.79097070202
121,2023-01-18 13:57:43.272373,-113457.88220008645
122,2023-01-18 13:57:43.471475,-113470.86605878273
123,2023-01-18 13:57:43.674922,-113459.37459763774
124,2023-01-18 13:57:43.866117,-113466.6873456391
125,2023-01-18 13:57:44.080603,-113466.6873456391
126,2023-01-18 13:57:44.270070,-113472.50769608916
127,2023-01-18 13:57:44.474463,-113470.56757927248
128,2023-01-18 13:57:44.677717,-113467.58278416988
129,2023-01-18 13:57:44.875293,-113469.97062025196
130,2023-01-18 13:57:45.071432,-113468.03050343526
131,2023-01-18 13:57:45.271448,-113459.37459763774
132,2023-01-18 13:57:45.480414,-113467.88126368014
133,2023-01-18 13:57:45.682141,-113468.77670221092
134,2023-01-18 13:57:45.880488,-113468.77670221092
135,2023-01-18 13:57:46.083692,-113467.13506490449
136,2023-01-18 13:57:46.274778,-113462.06091323007
137,2023-01-18 13:57:46.478653,-113460.1207964134
138,2023-01-18 13:57:46.686084,-113467.28430465962
139,2023-01-18 13:57:46.879936,-113469.2244214763
140,2023-01-18 13:57:47.083940,-113472.80617559943
141,2023-01-18 13:57:47.286743,-113467.58278416988
142,2023-01-18 13:57:47.475094,-113469.37366123144
143,2023-01-18 13:57:47.679044,-113468.47822270067
144,2023-01-18 13:57:47.880511,-113468.77670221092
145,2023-01-18 13:57:48.085083,-113466.09038661858
146,2023-01-18 13:57:48.286687,-113472.05997682377
147,2023-01-18 13:57:48.475857,-113458.92687837235
148,2023-01-18 13:57:48.679730,-113463.55331078138
149,2023-01-18 13:57:48.880940,-113461.31471445443
