,Time,Value
0,2023-01-26 17:20:38.063518,-162339.87241981397
1,2023-01-26 17:20:38.263227,-162335.67481745975
2,2023-01-26 17:20:38.463525,-162347.66796704323
3,2023-01-26 17:20:38.664011,-162353.36471309542
4,2023-01-26 17:20:38.864372,-162350.8161688089
5,2023-01-26 17:20:39.055435,-162347.21822393386
6,2023-01-26 17:20:39.259627,-162352.16539813706
7,2023-01-26 17:20:39.465803,-162349.0171963714
8,2023-01-26 17:20:39.666801,-162341.2216491421
9,2023-01-26 17:20:39.867478,-162345.86899460573
10,2023-01-26 17:20:40.066804,-162355.7633430121
11,2023-01-26 17:20:40.266728,-162346.76848082448
12,2023-01-26 17:20:40.468104,-162338.5231904858
13,2023-01-26 17:20:40.668838,-162337.32387552748
14,2023-01-26 17:20:40.869148,-162349.31702511097
15,2023-01-26 17:20:41.069246,-162356.81274360066
16,2023-01-26 17:20:41.263614,-162345.86899460573
17,2023-01-26 17:20:41.469637,-162347.06830956406
18,2023-01-26 17:20:41.670287,-162351.1159975485
19,2023-01-26 17:20:41.871526,-162351.2659119183
20,2023-01-26 17:20:42.071964,-162353.9643705746
21,2023-01-26 17:20:42.269452,-162341.82130662128
22,2023-01-26 17:20:42.471953,-162351.41582628808
23,2023-01-26 17:20:42.673070,-162346.76848082448
24,2023-01-26 17:20:42.863816,-162344.81959401717
25,2023-01-26 17:20:43.070647,-162347.21822393386
26,2023-01-26 17:20:43.269990,-162341.82130662128
27,2023-01-26 17:20:43.474484,-162336.4243893087
28,2023-01-26 17:20:43.665529,-162346.76848082448
29,2023-01-26 17:20:43.865853,-162347.66796704323
30,2023-01-26 17:20:44.071240,-162339.4226767046
31,2023-01-26 17:20:44.273026,-162351.1159975485
32,2023-01-26 17:20:44.476503,-162339.57259107436
33,2023-01-26 17:20:44.673242,-162346.4686520849
34,2023-01-26 17:20:44.867860,-162346.3187377151
35,2023-01-26 17:20:45.069576,-162343.02062157964
36,2023-01-26 17:20:45.278800,-162344.219936538
37,2023-01-26 17:20:45.479076,-162340.77190603272
38,2023-01-26 17:20:45.677237,-162347.96779578284
39,2023-01-26 17:20:45.871865,-162337.32387552748
40,2023-01-26 17:20:46.070790,-162346.91839519428
41,2023-01-26 17:20:46.276328,-162345.11942275675
42,2023-01-26 17:20:46.480688,-162344.51976527757
43,2023-01-26 17:20:46.680518,-162342.42096410046
44,2023-01-26 17:20:46.882139,-162346.3187377151
45,2023-01-26 17:20:47.070682,-162344.66967964737
46,2023-01-26 17:20:47.274186,-162339.57259107436
47,2023-01-26 17:20:47.482894,-162345.71908023593
48,2023-01-26 17:20:47.679488,-162343.470364689
49,2023-01-26 17:20:47.872739,-162341.5214778817
50,2023-01-26 17:20:48.070724,-162346.91839519428
51,2023-01-26 17:20:48.274723,-162346.4686520849
52,2023-01-26 17:20:48.484247,-162352.76505561624
53,2023-01-26 17:20:48.685491,-162345.71908023593
54,2023-01-26 17:20:48.883494,-162342.57087847026
55,2023-01-26 17:20:49.085990,-162339.87241981397
56,2023-01-26 17:20:49.274072,-162340.32216292334
57,2023-01-26 17:20:49.487700,-162351.71565502768
58,2023-01-26 17:20:49.682753,-162341.6713922515
59,2023-01-26 17:20:49.886762,-162338.37327611604
60,2023-01-26 17:20:50.088509,-162343.470364689
61,2023-01-26 17:20:50.279492,-162338.8230192254
62,2023-01-26 17:20:50.489295,-162338.6731048556
63,2023-01-26 17:20:50.686600,-162341.3715635119
64,2023-01-26 17:20:50.875575,-162344.36985090777
65,2023-01-26 17:20:51.086416,-162343.470364689
66,2023-01-26 17:20:51.281959,-162342.12113536088
67,2023-01-26 17:20:51.489171,-162335.82473182952
68,2023-01-26 17:20:51.689603,-162345.71908023593
69,2023-01-26 17:20:51.879312,-162341.97122099108
70,2023-01-26 17:20:52.086185,-162344.0700221682
71,2023-01-26 17:20:52.283750,-162339.87241981397
72,2023-01-26 17:20:52.493942,-162332.0768725847
73,2023-01-26 17:20:52.694400,-162340.47207729315
74,2023-01-26 17:20:52.885109,-162337.92353300666
75,2023-01-26 17:20:53.084981,-162344.36985090777
76,2023-01-26 17:20:53.287789,-162345.56916586612
77,2023-01-26 17:20:53.495571,-162346.0189089755
78,2023-01-26 17:20:53.694726,-162349.46693948077
79,2023-01-26 17:20:53.884449,-162343.3204503192
80,2023-01-26 17:20:54.085332,-162346.91839519428
81,2023-01-26 17:20:54.297261,-162336.5743036785
82,2023-01-26 17:20:54.498227,-162339.122847965
83,2023-01-26 17:20:54.693928,-162332.22678695447
84,2023-01-26 17:20:54.887912,-162340.47207729315
85,2023-01-26 17:20:55.084547,-162348.7173676318
86,2023-01-26 17:20:55.287936,-162344.81959401717
87,2023-01-26 17:20:55.500110,-162344.36985090777
88,2023-01-26 17:20:55.698948,-162339.2727623348
89,2023-01-26 17:20:55.901181,-162336.4243893087
90,2023-01-26 17:20:56.101395,-162343.6202790588
91,2023-01-26 17:20:56.289993,-162335.97464619932
92,2023-01-26 17:20:56.502624,-162346.3187377151
93,2023-01-26 17:20:56.695222,-162340.02233418377
94,2023-01-26 17:20:56.900281,-162343.9201077984
95,2023-01-26 17:20:57.103291,-162341.5214778817
96,2023-01-26 17:20:57.291095,-162340.17224855354
97,2023-01-26 17:20:57.503794,-162336.5743036785
98,2023-01-26 17:20:57.695139,-162344.51976527757
99,2023-01-26 17:20:57.904567,-162347.06830956406
100,2023-01-26 17:20:58.093143,-162350.36642569953
101,2023-01-26 17:20:58.296384,-162341.07173477233
102,2023-01-26 17:20:58.505734,-162346.1688233453
103,2023-01-26 17:20:58.697091,-162347.21822393386
104,2023-01-26 17:20:58.901025,-162337.02404678788
105,2023-01-26 17:20:59.105135,-162342.42096410046
106,2023-01-26 17:20:59.293539,-162340.17224855354
107,2023-01-26 17:20:59.508217,-162340.17224855354
108,2023-01-26 17:20:59.704561,-162346.4686520849
109,2023-01-26 17:20:59.907791,-162355.7633430121
110,2023-01-26 17:21:00.109496,-162340.62199166295
111,2023-01-26 17:21:00.298254,-162347.66796704323
112,2023-01-26 17:21:00.510733,-162342.57087847026
113,2023-01-26 17:21:00.704360,-162343.17053594944
114,2023-01-26 17:21:00.907883,-162343.9201077984
115,2023-01-26 17:21:01.103312,-162331.02747199612
116,2023-01-26 17:21:01.301068,-162338.8230192254
117,2023-01-26 17:21:01.512652,-162334.92524561076
118,2023-01-26 17:21:01.713265,-162347.96779578284
119,2023-01-26 17:21:01.912022,-162341.97122099108
120,2023-01-26 17:21:02.100547,-162346.4686520849
121,2023-01-26 17:21:02.304720,-162335.37498872014
122,2023-01-26 17:21:02.506760,-162339.72250544417
123,2023-01-26 17:21:02.710306,-162336.27447493892
124,2023-01-26 17:21:02.906061,-162336.8741324181
125,2023-01-26 17:21:03.101606,-162340.62199166295
126,2023-01-26 17:21:03.316717,-162345.26933712655
127,2023-01-26 17:21:03.516751,-162345.26933712655
128,2023-01-26 17:21:03.707955,-162341.3715635119
129,2023-01-26 17:21:03.903142,-162345.56916586612
130,2023-01-26 17:21:04.116552,-162331.32730073572
131,2023-01-26 17:21:04.304054,-162338.5231904858
132,2023-01-26 17:21:04.518690,-162344.36985090777
133,2023-01-26 17:21:04.711599,-162349.46693948077
134,2023-01-26 17:21:04.919625,-162346.1688233453
135,2023-01-26 17:21:05.117384,-162353.664541835
136,2023-01-26 17:21:05.306072,-162349.91668259015
137,2023-01-26 17:21:05.520992,-162347.66796704323
138,2023-01-26 17:21:05.713731,-162342.72079284006
139,2023-01-26 17:21:05.921952,-162351.86556939746
140,2023-01-26 17:21:06.115174,-162349.1671107412
141,2023-01-26 17:21:06.319019,-162346.1688233453
142,2023-01-26 17:21:06.522171,-162347.81788141304
143,2023-01-26 17:21:06.710454,-162338.9729335952
144,2023-01-26 17:21:06.913563,-162342.12113536088
145,2023-01-26 17:21:07.116952,-162345.26933712655
146,2023-01-26 17:21:07.320776,-162346.0189089755
147,2023-01-26 17:21:07.521838,-162345.41925149635
148,2023-01-26 17:21:07.714373,-162356.21308612148
149,2023-01-26 17:21:07.922971,-162357.56231544964
150,2023-01-26 17:21:08.121226,-162344.51976527757
151,2023-01-26 17:21:08.312768,-162344.0700221682
152,2023-01-26 17:21:08.522703,-162341.97122099108
153,2023-01-26 17:21:08.717798,-162340.92182040252
154,2023-01-26 17:21:08.921424,-162338.8230192254
155,2023-01-26 17:21:09.128959,-162346.0189089755
156,2023-01-26 17:21:09.328010,-162345.41925149635
157,2023-01-26 17:21:09.521989,-162343.6202790588
158,2023-01-26 17:21:09.720156,-162341.5214778817
159,2023-01-26 17:21:09.923394,-162344.0700221682
160,2023-01-26 17:21:10.117727,-162341.2216491421
161,2023-01-26 17:21:10.316833,-162348.1177101526
162,2023-01-26 17:21:10.522265,-162343.6202790588
163,2023-01-26 17:21:10.732308,-162347.21822393386
164,2023-01-26 17:21:10.927892,-162337.77361863686
165,2023-01-26 17:21:11.131776,-162343.02062157964
166,2023-01-26 17:21:11.320623,-162348.1177101526
167,2023-01-26 17:21:11.522280,-162350.66625443913
168,2023-01-26 17:21:11.726821,-162348.56745326202
169,2023-01-26 17:21:11.931147,-162344.219936538
170,2023-01-26 17:21:12.134195,-162346.91839519428
171,2023-01-26 17:21:12.335216,-162348.7173676318
172,2023-01-26 17:21:12.521149,-162345.26933712655
173,2023-01-26 17:21:12.725049,-162349.31702511097
174,2023-01-26 17:21:12.935608,-162348.1177101526
175,2023-01-26 17:21:13.132750,-162350.8161688089
176,2023-01-26 17:21:13.335836,-162341.82130662128
177,2023-01-26 17:21:13.538459,-162347.36813830366
178,2023-01-26 17:21:13.727373,-162345.86899460573
179,2023-01-26 17:21:13.937821,-162338.37327611604
180,2023-01-26 17:21:14.131771,-162349.0171963714
181,2023-01-26 17:21:14.335209,-162337.02404678788
182,2023-01-26 17:21:14.538270,-162338.8230192254
183,2023-01-26 17:21:14.726393,-162354.11428494437
184,2023-01-26 17:21:14.930044,-162342.87070720983
185,2023-01-26 17:21:15.132615,-162345.26933712655
186,2023-01-26 17:21:15.335614,-162337.92353300666
187,2023-01-26 17:21:15.537605,-162337.92353300666
188,2023-01-26 17:21:15.742585,-162347.21822393386
189,2023-01-26 17:21:15.930562,-162341.07173477233
190,2023-01-26 17:21:16.134488,-162350.21651132975
191,2023-01-26 17:21:16.339218,-162342.12113536088
192,2023-01-26 17:21:16.545165,-162346.0189089755
193,2023-01-26 17:21:16.730898,-162346.0189089755
194,2023-01-26 17:21:16.934388,-162344.219936538
195,2023-01-26 17:21:17.145473,-162345.86899460573
196,2023-01-26 17:21:17.344385,-162340.17224855354
197,2023-01-26 17:21:17.538669,-162354.86385679335
198,2023-01-26 17:21:17.734809,-162346.3187377151
199,2023-01-26 17:21:17.943165,-162358.4618016684
200,2023-01-26 17:21:18.147812,-162345.86899460573
201,2023-01-26 17:21:18.343407,-162351.41582628808
202,2023-01-26 17:21:18.538271,-162345.41925149635
203,2023-01-26 17:21:18.735720,-162351.56574065788
204,2023-01-26 17:21:18.938833,-162341.07173477233
205,2023-01-26 17:21:19.148954,-162342.72079284006
206,2023-01-26 17:21:19.347026,-162348.1177101526
207,2023-01-26 17:21:19.537317,-162344.219936538
208,2023-01-26 17:21:19.750818,-162343.470364689
209,2023-01-26 17:21:19.942685,-162335.67481745975
210,2023-01-26 17:21:20.145738,-162345.26933712655
211,2023-01-26 17:21:20.351562,-162345.41925149635
212,2023-01-26 17:21:20.552460,-162350.21651132975
213,2023-01-26 17:21:20.742200,-162349.31702511097
214,2023-01-26 17:21:20.946652,-162347.06830956406
215,2023-01-26 17:21:21.147686,-162342.72079284006
216,2023-01-26 17:21:21.354027,-162348.2676245224
217,2023-01-26 17:21:21.553092,-162341.82130662128
218,2023-01-26 17:21:21.741111,-162350.51634006933
219,2023-01-26 17:21:21.950798,-162344.96950838694
220,2023-01-26 17:21:22.146891,-162341.5214778817
221,2023-01-26 17:21:22.350614,-162346.4686520849
222,2023-01-26 17:21:22.552656,-162344.96950838694
223,2023-01-26 17:21:22.756785,-162340.47207729315
224,2023-01-26 17:21:22.955758,-162351.86556939746
225,2023-01-26 17:21:23.147787,-162348.41753889222
226,2023-01-26 17:21:23.344034,-162346.0189089755
227,2023-01-26 17:21:23.553586,-162347.66796704323
228,2023-01-26 17:21:23.757258,-162348.41753889222
229,2023-01-26 17:21:23.960242,-162347.81788141304
230,2023-01-26 17:21:24.146640,-162336.27447493892
231,2023-01-26 17:21:24.349764,-162342.72079284006
232,2023-01-26 17:21:24.553041,-162339.57259107436
233,2023-01-26 17:21:24.750716,-162354.56402805375
234,2023-01-26 17:21:24.954955,-162345.41925149635
235,2023-01-26 17:21:25.148915,-162345.11942275675
236,2023-01-26 17:21:25.354410,-162344.66967964737
237,2023-01-26 17:21:25.562888,-162346.91839519428
238,2023-01-26 17:21:25.761259,-162345.11942275675
239,2023-01-26 17:21:25.949146,-162346.91839519428
240,2023-01-26 17:21:26.152754,-162350.36642569953
241,2023-01-26 17:21:26.356145,-162350.06659695995
242,2023-01-26 17:21:26.553636,-162346.91839519428
243,2023-01-26 17:21:26.765417,-162348.7173676318
244,2023-01-26 17:21:26.952926,-162340.32216292334
245,2023-01-26 17:21:27.166397,-162346.4686520849
246,2023-01-26 17:21:27.359286,-162337.77361863686
247,2023-01-26 17:21:27.554416,-162341.97122099108
248,2023-01-26 17:21:27.766991,-162344.36985090777
249,2023-01-26 17:21:27.968211,-162338.9729335952
250,2023-01-26 17:21:28.161365,-162338.37327611604
251,2023-01-26 17:21:28.366755,-162343.470364689
252,2023-01-26 17:21:28.567900,-162346.76848082448
253,2023-01-26 17:21:28.754748,-162336.5743036785
254,2023-01-26 17:21:28.970642,-162348.2676245224
255,2023-01-26 17:21:29.162907,-162348.41753889222
256,2023-01-26 17:21:29.366237,-162338.22336174623
257,2023-01-26 17:21:29.567161,-162342.12113536088
258,2023-01-26 17:21:29.772396,-162343.77019342862
259,2023-01-26 17:21:29.971881,-162346.91839519428
260,2023-01-26 17:21:30.162599,-162337.47378989725
261,2023-01-26 17:21:30.370631,-162343.6202790588
262,2023-01-26 17:21:30.568348,-162340.62199166295
263,2023-01-26 17:21:30.771700,-162343.02062157964
264,2023-01-26 17:21:30.974460,-162349.46693948077
265,2023-01-26 17:21:31.162433,-162350.66625443913
266,2023-01-26 17:21:31.375691,-162339.4226767046
267,2023-01-26 17:21:31.569346,-162353.5146274652
268,2023-01-26 17:21:31.772804,-162343.77019342862
269,2023-01-26 17:21:31.976842,-162346.61856645468
270,2023-01-26 17:21:32.176755,-162340.77190603272
271,2023-01-26 17:21:32.365347,-162353.21479872562
272,2023-01-26 17:21:32.568565,-162350.21651132975
273,2023-01-26 17:21:32.765543,-162342.12113536088
274,2023-01-26 17:21:32.978361,-162349.61685385057
275,2023-01-26 17:21:33.177138,-162341.97122099108
276,2023-01-26 17:21:33.365183,-162350.36642569953
277,2023-01-26 17:21:33.569065,-162343.3204503192
278,2023-01-26 17:21:33.772818,-162351.86556939746
279,2023-01-26 17:21:33.981152,-162342.12113536088
280,2023-01-26 17:21:34.166285,-162336.12456056912
281,2023-01-26 17:21:34.370483,-162345.11942275675
282,2023-01-26 17:21:34.582489,-162340.02233418377
283,2023-01-26 17:21:34.776540,-162358.16197292882
284,2023-01-26 17:21:34.983249,-162351.1159975485
285,2023-01-26 17:21:35.183178,-162336.8741324181
286,2023-01-26 17:21:35.372143,-162346.3187377151
287,2023-01-26 17:21:35.584111,-162344.51976527757
288,2023-01-26 17:21:35.779056,-162344.0700221682
289,2023-01-26 17:21:35.970951,-162342.87070720983
290,2023-01-26 17:21:36.171312,-162341.5214778817
291,2023-01-26 17:21:36.376189,-162341.07173477233
292,2023-01-26 17:21:36.583972,-162348.56745326202
293,2023-01-26 17:21:36.784054,-162346.1688233453
294,2023-01-26 17:21:36.987448,-162342.87070720983
295,2023-01-26 17:21:37.177550,-162343.470364689
296,2023-01-26 17:21:37.380346,-162345.71908023593
297,2023-01-26 17:21:37.582841,-162338.8230192254
298,2023-01-26 17:21:37.787574,-162343.470364689
299,2023-01-26 17:21:37.989029,-162342.57087847026
300,2023-01-26 17:21:38.177931,-162341.97122099108
301,2023-01-26 17:21:38.382192,-162349.61685385057
302,2023-01-26 17:21:38.583174,-162343.17053594944
303,2023-01-26 17:21:38.787129,-162344.51976527757
304,2023-01-26 17:21:38.991280,-162345.11942275675
305,2023-01-26 17:21:39.177578,-162352.46522687664
306,2023-01-26 17:21:39.392128,-162346.4686520849
307,2023-01-26 17:21:39.583410,-162343.02062157964
308,2023-01-26 17:21:39.786034,-162341.07173477233
309,2023-01-26 17:21:39.993837,-162346.4686520849
310,2023-01-26 17:21:40.193041,-162352.16539813706
311,2023-01-26 17:21:40.394358,-162349.61685385057
312,2023-01-26 17:21:40.584284,-162347.96779578284
313,2023-01-26 17:21:40.787525,-162351.2659119183
314,2023-01-26 17:21:40.995910,-162342.57087847026
315,2023-01-26 17:21:41.191818,-162348.41753889222
316,2023-01-26 17:21:41.396491,-162339.2727623348
317,2023-01-26 17:21:41.585463,-162348.1177101526
318,2023-01-26 17:21:41.789351,-162349.91668259015
319,2023-01-26 17:21:41.998128,-162349.0171963714
320,2023-01-26 17:21:42.197539,-162350.21651132975
321,2023-01-26 17:21:42.385278,-162340.17224855354
322,2023-01-26 17:21:42.584960,-162349.46693948077
323,2023-01-26 17:21:42.789030,-162350.21651132975
324,2023-01-26 17:21:43.000204,-162346.61856645468
325,2023-01-26 17:21:43.190483,-162348.8672820016
326,2023-01-26 17:21:43.394358,-162344.36985090777
327,2023-01-26 17:21:43.598732,-162346.61856645468
328,2023-01-26 17:21:43.794997,-162345.86899460573
329,2023-01-26 17:21:44.001921,-162344.51976527757
330,2023-01-26 17:21:44.199737,-162347.96779578284
331,2023-01-26 17:21:44.400843,-162342.12113536088
332,2023-01-26 17:21:44.599775,-162348.56745326202
333,2023-01-26 17:21:44.796390,-162347.21822393386
334,2023-01-26 17:21:45.003500,-162349.61685385057
335,2023-01-26 17:21:45.202612,-162344.51976527757
336,2023-01-26 17:21:45.390114,-162341.3715635119
337,2023-01-26 17:21:45.600331,-162345.41925149635
338,2023-01-26 17:21:45.800043,-162345.86899460573
339,2023-01-26 17:21:46.006035,-162340.47207729315
340,2023-01-26 17:21:46.193006,-162350.36642569953
341,2023-01-26 17:21:46.394401,-162346.3187377151
342,2023-01-26 17:21:46.598607,-162354.86385679335
343,2023-01-26 17:21:46.802805,-162347.21822393386
344,2023-01-26 17:21:47.003407,-162350.66625443913
345,2023-01-26 17:21:47.207422,-162347.06830956406
346,2023-01-26 17:21:47.398399,-162347.21822393386
347,2023-01-26 17:21:47.599356,-162348.56745326202
348,2023-01-26 17:21:47.809349,-162350.9660831787
349,2023-01-26 17:21:48.004114,-162348.8672820016
350,2023-01-26 17:21:48.208498,-162339.57259107436
351,2023-01-26 17:21:48.403517,-162342.27104973065
352,2023-01-26 17:21:48.598797,-162352.31531250686
353,2023-01-26 17:21:48.803603,-162342.12113536088
354,2023-01-26 17:21:49.012147,-162355.31359990273
355,2023-01-26 17:21:49.208272,-162348.2676245224
356,2023-01-26 17:21:49.413547,-162350.51634006933
357,2023-01-26 17:21:49.599228,-162346.76848082448
358,2023-01-26 17:21:49.802973,-162348.2676245224
359,2023-01-26 17:21:50.014607,-162357.11257234027
360,2023-01-26 17:21:50.207504,-162351.2659119183
361,2023-01-26 17:21:50.411163,-162343.17053594944
362,2023-01-26 17:21:50.613621,-162349.1671107412
363,2023-01-26 17:21:50.801422,-162340.92182040252
364,2023-01-26 17:21:51.016700,-162335.97464619932
365,2023-01-26 17:21:51.209161,-162351.1159975485
366,2023-01-26 17:21:51.413470,-162349.0171963714
367,2023-01-26 17:21:51.618283,-162350.51634006933
368,2023-01-26 17:21:51.806254,-162347.36813830366
