,Time,Value
0,2023-01-17 18:45:32.809780,-114796.11508433492
1,2023-01-17 18:45:33.012836,-114788.35461706818
2,2023-01-17 18:45:33.203132,-114798.80139992725
3,2023-01-17 18:45:33.417010,-114788.20537731305
4,2023-01-17 18:45:33.611639,-114789.39929535409
5,2023-01-17 18:45:33.816066,-114796.11508433492
6,2023-01-17 18:45:34.019096,-114789.69777486434
7,2023-01-17 18:45:34.218241,-114796.11508433492
8,2023-01-17 18:45:34.420491,-114796.86128311057
9,2023-01-17 18:45:34.618341,-114794.62268678362
10,2023-01-17 18:45:34.820866,-114796.71204335544
11,2023-01-17 18:45:35.018480,-114788.35461706818
12,2023-01-17 18:45:35.215241,-114796.26432409005
13,2023-01-17 18:45:35.414763,-114791.78713143615
14,2023-01-17 18:45:35.616269,-114799.69683845804
15,2023-01-17 18:45:35.820625,-114793.87648800797
16,2023-01-17 18:45:36.010028,-114790.44397364
17,2023-01-17 18:45:36.223346,-114797.15976262082
18,2023-01-17 18:45:36.419230,-114795.07040604901
19,2023-01-17 18:45:36.620553,-114792.68256996694
20,2023-01-17 18:45:36.820651,-114797.45824213109
21,2023-01-17 18:45:37.011825,-114796.11508433492
22,2023-01-17 18:45:37.220471,-114790.74245315025
23,2023-01-17 18:45:37.419611,-114800.89075649907
24,2023-01-17 18:45:37.615908,-114796.11508433492
25,2023-01-17 18:45:37.826179,-114791.33941217077
26,2023-01-17 18:45:38.026445,-114796.71204335544
27,2023-01-17 18:45:38.220135,-114811.18829960302
28,2023-01-17 18:45:38.420754,-114789.5485351092
29,2023-01-17 18:45:38.620809,-114798.502920417
30,2023-01-17 18:45:38.828323,-114797.60748188621
31,2023-01-17 18:45:39.027505,-114801.48771551959
32,2023-01-17 18:45:39.218914,-114801.33847576447
33,2023-01-17 18:45:39.416599,-114797.75672164134
34,2023-01-17 18:45:39.624921,-114798.35368066186
35,2023-01-17 18:45:39.827822,-114801.93543478499
36,2023-01-17 18:45:40.025076,-114792.23485070154
37,2023-01-17 18:45:40.226434,-114792.9810494772
38,2023-01-17 18:45:40.431159,-114793.72724825285
39,2023-01-17 18:45:40.630800,-114803.87555160167
40,2023-01-17 18:45:40.820610,-114793.87648800797
41,2023-01-17 18:45:41.030512,-114786.11602074123
42,2023-01-17 18:45:41.218945,-114797.75672164134
43,2023-01-17 18:45:41.426901,-114795.07040604901
44,2023-01-17 18:45:41.632296,-114796.71204335544
45,2023-01-17 18:45:41.831774,-114796.41356384518
46,2023-01-17 18:45:42.032581,-114804.32327086705
47,2023-01-17 18:45:42.219962,-114804.32327086705
48,2023-01-17 18:45:42.432622,-114798.502920417
49,2023-01-17 18:45:42.630713,-114791.63789168102
50,2023-01-17 18:45:42.836173,-114791.78713143615
51,2023-01-17 18:45:43.036058,-114790.89169290538
52,2023-01-17 18:45:43.229891,-114793.13028923233
53,2023-01-17 18:45:43.436861,-114793.13028923233
54,2023-01-17 18:45:43.630480,-114796.5628036003
55,2023-01-17 18:45:43.836528,-114797.0105228657
56,2023-01-17 18:45:44.031190,-114787.60841829253
57,2023-01-17 18:45:44.236807,-114796.71204335544
58,2023-01-17 18:45:44.436171,-114792.23485070154
59,2023-01-17 18:45:44.633178,-114795.21964580414
60,2023-01-17 18:45:44.836628,-114793.57800849772
61,2023-01-17 18:45:45.034976,-114798.502920417
62,2023-01-17 18:45:45.233276,-114792.68256996694
63,2023-01-17 18:45:45.432109,-114789.25005559895
64,2023-01-17 18:45:45.638387,-114797.75672164134
65,2023-01-17 18:45:45.837617,-114792.08561094642
66,2023-01-17 18:45:46.027703,-114796.26432409005
67,2023-01-17 18:45:46.242465,-114796.71204335544
68,2023-01-17 18:45:46.436451,-114790.14549412973
69,2023-01-17 18:45:46.643291,-114800.29379747856
70,2023-01-17 18:45:46.836662,-114789.84701461947
71,2023-01-17 18:45:47.044014,-114796.11508433492
72,2023-01-17 18:45:47.239429,-114793.87648800797
73,2023-01-17 18:45:47.440396,-114790.74245315025
74,2023-01-17 18:45:47.640056,-114789.84701461947
75,2023-01-17 18:45:47.836599,-114802.23391429524
76,2023-01-17 18:45:48.040216,-114803.42783233628
77,2023-01-17 18:45:48.232103,-114802.5323938055
78,2023-01-17 18:45:48.437481,-114776.41543665779
79,2023-01-17 18:45:48.644749,-114798.65216017213
80,2023-01-17 18:45:48.844847,-114798.65216017213
81,2023-01-17 18:45:49.042901,-114799.69683845804
82,2023-01-17 18:45:49.247870,-114798.502920417
83,2023-01-17 18:45:49.448385,-114801.93543478499
