,Time,Value
0,2023-01-18 14:14:44.783503,-110603.22416396458
1,2023-01-18 14:14:44.989023,-110600.23936886198
2,2023-01-18 14:14:45.197288,-110595.01597743244
3,2023-01-18 14:14:45.399033,-110598.00077253503
4,2023-01-18 14:14:45.586582,-110598.2992520453
5,2023-01-18 14:14:45.799066,-110603.07492420945
6,2023-01-18 14:14:46.000233,-110614.56638535444
7,2023-01-18 14:14:46.191324,-110578.89808387843
8,2023-01-18 14:14:46.400007,-110593.8220593914
9,2023-01-18 14:14:46.600008,-110597.70229302478
10,2023-01-18 14:14:46.799225,-110595.46369669783
11,2023-01-18 14:14:46.999269,-110596.65761473887
12,2023-01-18 14:14:47.202622,-110603.97036274022
13,2023-01-18 14:14:47.402722,-110596.65761473887
14,2023-01-18 14:14:47.592080,-110595.16521718758
15,2023-01-18 14:14:47.799957,-110598.2992520453
16,2023-01-18 14:14:47.998170,-110599.94088935172
17,2023-01-18 14:14:48.204073,-110609.49223368002
18,2023-01-18 14:14:48.394528,-110601.58252665815
19,2023-01-18 14:14:48.599290,-110593.37434012601
20,2023-01-18 14:14:48.799459,-110591.73270281959
21,2023-01-18 14:14:49.005535,-110585.91235236953
22,2023-01-18 14:14:49.205603,-110600.98556763763
23,2023-01-18 14:14:49.398474,-110601.58252665815
24,2023-01-18 14:14:49.596826,-110594.26977865679
25,2023-01-18 14:14:49.799903,-110600.23936886198
26,2023-01-18 14:14:50.004839,-110603.52264347483
27,2023-01-18 14:14:50.207544,-110601.8810061684
28,2023-01-18 14:14:50.408659,-110598.15001229016
29,2023-01-18 14:14:50.601090,-110599.49317008634
30,2023-01-18 14:14:50.798748,-110600.09012910686
31,2023-01-18 14:14:51.009491,-110595.46369669783
32,2023-01-18 14:14:51.209839,-110599.3439303312
33,2023-01-18 14:14:51.408928,-110600.09012910686
34,2023-01-18 14:14:51.598763,-110595.3144569427
35,2023-01-18 14:14:51.798534,-110601.58252665815
36,2023-01-18 14:14:52.002785,-110602.92568445431
37,2023-01-18 14:14:52.212064,-110603.37340371971
38,2023-01-18 14:14:52.409017,-110597.10533400426
39,2023-01-18 14:14:52.597853,-110593.8220593914
40,2023-01-18 14:14:52.798579,-110594.26977865679
41,2023-01-18 14:14:53.004329,-110594.12053890167
42,2023-01-18 14:14:53.214022,-110606.80591808769
43,2023-01-18 14:14:53.408748,-110598.00077253503
44,2023-01-18 14:14:53.613019,-110592.47890159524
45,2023-01-18 14:14:53.800391,-110592.03118232984
46,2023-01-18 14:14:54.009384,-110594.71749792219
47,2023-01-18 14:14:54.215405,-110590.83726428881
48,2023-01-18 14:14:54.410950,-110595.3144569427
49,2023-01-18 14:14:54.614691,-110603.07492420945
50,2023-01-18 14:14:54.815181,-110608.44755539412
51,2023-01-18 14:14:55.018046,-110602.7764446992
52,2023-01-18 14:14:55.218081,-110602.3287254338
53,2023-01-18 14:14:55.414385,-110590.98650404393
54,2023-01-18 14:14:55.618195,-110593.97129914653
55,2023-01-18 14:14:55.814255,-110596.806854494
56,2023-01-18 14:14:56.011867,-110601.8810061684
57,2023-01-18 14:14:56.219485,-110593.67281963627
58,2023-01-18 14:14:56.420053,-110598.89621106582
59,2023-01-18 14:14:56.607648,-110595.3144569427
60,2023-01-18 14:14:56.817051,-110608.59679514925
61,2023-01-18 14:14:57.014829,-110593.97129914653
62,2023-01-18 14:14:57.221964,-110592.7773811055
63,2023-01-18 14:14:57.407851,-110596.806854494
64,2023-01-18 14:14:57.610928,-110590.83726428881
65,2023-01-18 14:14:57.817607,-110589.49410649264
66,2023-01-18 14:14:58.022200,-110594.12053890167
67,2023-01-18 14:14:58.223775,-110589.7925860029
68,2023-01-18 14:14:58.412929,-110600.98556763763
69,2023-01-18 14:14:58.614183,-110596.50837498374
70,2023-01-18 14:14:58.814786,-110595.01597743244
71,2023-01-18 14:14:59.011558,-110601.28404714788
72,2023-01-18 14:14:59.225426,-110595.01597743244
73,2023-01-18 14:14:59.423495,-110596.806854494
74,2023-01-18 14:14:59.626521,-110605.91047955691
75,2023-01-18 14:14:59.813960,-110595.46369669783
76,2023-01-18 14:15:00.018027,-110592.03118232984
77,2023-01-18 14:15:00.226926,-110600.8363278825
78,2023-01-18 14:15:00.426940,-110599.19469057607
79,2023-01-18 14:15:00.616426,-110588.747907717
80,2023-01-18 14:15:00.813920,-110598.74697131068
81,2023-01-18 14:15:01.017847,-110592.18042208497
82,2023-01-18 14:15:01.229450,-110595.61293645296
83,2023-01-18 14:15:01.424327,-110590.2403052683
84,2023-01-18 14:15:01.628266,-110591.43422330933
85,2023-01-18 14:15:01.829437,-110597.70229302478
86,2023-01-18 14:15:02.014935,-110588.00170894134
87,2023-01-18 14:15:02.231248,-110589.49410649264
88,2023-01-18 14:15:02.423643,-110584.56919457336
89,2023-01-18 14:15:02.627564,-110594.41901841192
90,2023-01-18 14:15:02.830400,-110597.10533400426
91,2023-01-18 14:15:03.019391,-110593.07586061576
92,2023-01-18 14:15:03.233017,-110598.74697131068
93,2023-01-18 14:15:03.428499,-110577.7041658374
94,2023-01-18 14:15:03.633505,-110590.38954502341
95,2023-01-18 14:15:03.830228,-110611.43235049672
96,2023-01-18 14:15:04.027308,-110604.71656151587
97,2023-01-18 14:15:04.234353,-110593.97129914653
98,2023-01-18 14:15:04.431305,-110592.7773811055
99,2023-01-18 14:15:04.633621,-110602.17948567867
100,2023-01-18 14:15:04.829227,-110600.8363278825
101,2023-01-18 14:15:05.027294,-110599.04545082095
102,2023-01-18 14:15:05.236921,-110602.3287254338
103,2023-01-18 14:15:05.437053,-110596.06065571835
104,2023-01-18 14:15:05.633653,-110596.95609424912
105,2023-01-18 14:15:05.828944,-110602.3287254338
106,2023-01-18 14:15:06.030352,-110605.16428078126
107,2023-01-18 14:15:06.238586,-110596.20989547348
108,2023-01-18 14:15:06.438848,-110595.7621762081
109,2023-01-18 14:15:06.637905,-110594.41901841192
110,2023-01-18 14:15:06.829256,-110584.71843432849
111,2023-01-18 14:15:07.033904,-110553.37808575125
112,2023-01-18 14:15:07.240394,-110548.75165334222
113,2023-01-18 14:15:07.439977,-110550.24405089351
114,2023-01-18 14:15:07.628669,-110549.94557138326
115,2023-01-18 14:15:07.829994,-110558.89995669104
116,2023-01-18 14:15:08.034767,-110554.57200379227
117,2023-01-18 14:15:08.242008,-110551.28872917942
118,2023-01-18 14:15:08.439780,-110552.03492795507
119,2023-01-18 14:15:08.632653,-110561.7355120385
120,2023-01-18 14:15:08.829994,-110551.58720868969
121,2023-01-18 14:15:09.044007,-110536.36475366645
122,2023-01-18 14:15:09.243955,-110545.91609799475
123,2023-01-18 14:15:09.439526,-110546.51305701527
124,2023-01-18 14:15:09.643492,-110546.6622967704
125,2023-01-18 14:15:09.844835,-110545.6176184845
126,2023-01-18 14:15:10.037590,-110545.76685823963
127,2023-01-18 14:15:10.234045,-110550.69177015891
128,2023-01-18 14:15:10.437591,-110549.64709187299
129,2023-01-18 14:15:10.645801,-110548.60241358708
130,2023-01-18 14:15:10.844549,-110547.40849554606
131,2023-01-18 14:15:11.034284,-110544.87141970884
132,2023-01-18 14:15:11.247966,-110544.27446068832
133,2023-01-18 14:15:11.439412,-110542.48358362677
134,2023-01-18 14:15:11.644223,-110546.96077628066
135,2023-01-18 14:15:11.846953,-110539.6480282793
136,2023-01-18 14:15:12.035739,-110543.6775016678
137,2023-01-18 14:15:12.249622,-110545.31913897423
138,2023-01-18 14:15:12.444338,-110538.75258974853
139,2023-01-18 14:15:12.648735,-110541.73738485112
140,2023-01-18 14:15:12.851251,-110536.21551391132
141,2023-01-18 14:15:13.046020,-110541.43890534087
142,2023-01-18 14:15:13.250500,-110542.1851041165
143,2023-01-18 14:15:13.446914,-110544.87141970884
144,2023-01-18 14:15:13.649883,-110545.16989921911
145,2023-01-18 14:15:13.845236,-110540.24498729983
146,2023-01-18 14:15:14.044933,-110541.73738485112
147,2023-01-18 14:15:14.249452,-110541.28966558573
148,2023-01-18 14:15:14.453197,-110542.1851041165
149,2023-01-18 14:15:14.654673,-110543.97598117807
150,2023-01-18 14:15:14.845564,-110547.11001603579
151,2023-01-18 14:15:15.047473,-110546.96077628066
152,2023-01-18 14:15:15.250594,-110550.99024966916
153,2023-01-18 14:15:15.454448,-110542.78206313703
154,2023-01-18 14:15:15.643044,-110543.52826191268
155,2023-01-18 14:15:15.845455,-110549.05013285248
156,2023-01-18 14:15:16.051237,-110539.34954876904
157,2023-01-18 14:15:16.250541,-110548.1546943217
158,2023-01-18 14:15:16.455422,-110548.90089309735
159,2023-01-18 14:15:16.644851,-110543.6775016678
160,2023-01-18 14:15:16.858482,-110542.33434387164
161,2023-01-18 14:15:17.047667,-110545.76685823963
162,2023-01-18 14:15:17.250341,-110536.81247293184
163,2023-01-18 14:15:17.454051,-110551.73644844482
164,2023-01-18 14:15:17.647933,-110546.51305701527
165,2023-01-18 14:15:17.859721,-110548.45317383196
166,2023-01-18 14:15:18.049895,-110549.05013285248
167,2023-01-18 14:15:18.250388,-110536.36475366645
168,2023-01-18 14:15:18.455030,-110542.1851041165
169,2023-01-18 14:15:18.660471,-110546.06533774988
170,2023-01-18 14:15:18.860704,-110552.48264722046
171,2023-01-18 14:15:19.049341,-110539.49878852417
172,2023-01-18 14:15:19.250794,-110544.42370044345
173,2023-01-18 14:15:19.455287,-110548.30393407683
174,2023-01-18 14:15:19.659436,-110545.16989921911
175,2023-01-18 14:15:19.860157,-110546.36381726015
176,2023-01-18 14:15:20.051615,-110540.24498729983
177,2023-01-18 14:15:20.250301,-110544.57294019859
178,2023-01-18 14:15:20.456249,-110540.24498729983
179,2023-01-18 14:15:20.660172,-110541.1404258306
180,2023-01-18 14:15:20.863796,-110543.22978240241
181,2023-01-18 14:15:21.053158,-110546.51305701527
182,2023-01-18 14:15:21.266447,-110545.02065946397
183,2023-01-18 14:15:21.459305,-110548.45317383196
184,2023-01-18 14:15:21.665331,-110552.1841677102
185,2023-01-18 14:15:21.866116,-110544.1252209332
186,2023-01-18 14:15:22.054113,-110548.75165334222
187,2023-01-18 14:15:22.265902,-110540.09574754469
188,2023-01-18 14:15:22.463546,-110545.91609799475
189,2023-01-18 14:15:22.666931,-110548.00545456658
190,2023-01-18 14:15:22.859528,-110545.76685823963
191,2023-01-18 14:15:23.060996,-110544.42370044345
192,2023-01-18 14:15:23.265956,-110545.31913897423
193,2023-01-18 14:15:23.466886,-110538.15563072801
194,2023-01-18 14:15:23.671339,-110541.1404258306
195,2023-01-18 14:15:23.859459,-110542.93130289216
196,2023-01-18 14:15:24.062961,-110539.34954876904
197,2023-01-18 14:15:24.265759,-110552.03492795507
198,2023-01-18 14:15:24.458300,-110547.25925579092
199,2023-01-18 14:15:24.673800,-110541.58814509599
200,2023-01-18 14:15:24.860226,-110546.06533774988
201,2023-01-18 14:15:25.065669,-110549.49785211787
202,2023-01-18 14:15:25.266193,-110543.97598117807
203,2023-01-18 14:15:25.470977,-110559.34767595644
204,2023-01-18 14:15:25.660894,-110547.85621481144
205,2023-01-18 14:15:25.875025,-110559.1984362013
206,2023-01-18 14:15:26.065258,-110554.12428452689
207,2023-01-18 14:15:26.265638,-110554.27352428202
208,2023-01-18 14:15:26.469882,-110549.94557138326
209,2023-01-18 14:15:26.664886,-110554.87048330254
210,2023-01-18 14:15:26.874996,-110549.49785211787
211,2023-01-18 14:15:27.063388,-110546.21457750502
212,2023-01-18 14:15:27.265606,-110550.84100991403
213,2023-01-18 14:15:27.472430,-110545.76685823963
214,2023-01-18 14:15:27.677971,-110546.06533774988
215,2023-01-18 14:15:27.876026,-110553.07960624098
216,2023-01-18 14:15:28.079122,-110549.49785211787
217,2023-01-18 14:15:28.265532,-110547.85621481144
218,2023-01-18 14:15:28.469196,-110549.1993726076
219,2023-01-18 14:15:28.674466,-110552.1841677102
220,2023-01-18 14:15:28.875948,-110548.00545456658
221,2023-01-18 14:15:29.069697,-110547.55773530118
222,2023-01-18 14:15:29.282119,-110542.48358362677
223,2023-01-18 14:15:29.472877,-110549.05013285248
224,2023-01-18 14:15:29.676971,-110547.85621481144
225,2023-01-18 14:15:29.878422,-110552.78112673073
226,2023-01-18 14:15:30.082084,-110550.24405089351
227,2023-01-18 14:15:30.281134,-110548.60241358708
228,2023-01-18 14:15:30.474332,-110550.99024966916
229,2023-01-18 14:15:30.684158,-110554.27352428202
230,2023-01-18 14:15:30.882403,-110550.69177015891
231,2023-01-18 14:15:31.078735,-110543.22978240241
232,2023-01-18 14:15:31.281054,-110546.21457750502
233,2023-01-18 14:15:31.479593,-110543.97598117807
234,2023-01-18 14:15:31.684162,-110555.46744232306
235,2023-01-18 14:15:31.875768,-110532.18604052282
236,2023-01-18 14:15:32.074413,-110573.67469244888
237,2023-01-18 14:15:32.280869,-110544.1252209332
238,2023-01-18 14:15:32.481152,-110541.88662460625
239,2023-01-18 14:15:32.685892,-110553.37808575125
240,2023-01-18 14:15:32.875342,-110546.51305701527
241,2023-01-18 14:15:33.081697,-110547.85621481144
242,2023-01-18 14:15:33.281314,-110547.70697505631
243,2023-01-18 14:15:33.486242,-110545.46837872936
244,2023-01-18 14:15:33.690169,-110553.6765652615
245,2023-01-18 14:15:33.876477,-110538.90182950365
246,2023-01-18 14:15:34.081486,-110539.34954876904
247,2023-01-18 14:15:34.291172,-110549.49785211787
248,2023-01-18 14:15:34.489909,-110550.39329064864
249,2023-01-18 14:15:34.692479,-110547.40849554606
